X1	X2
Potra2n765s36715	GO:0005515
Potra2n765s36714	GO:0009690,GO:0016021,GO:0019139,GO:0055114,GO:0071949
Potra2n1433s37070	GO:0004674,GO:0005509,GO:0005524,GO:0005886,GO:0006468,GO:0009069,GO:0016021,GO:0030247
Potra2n581s36023	GO:0004674,GO:0005515,GO:0005524,GO:0005886,GO:0009069,GO:0016021,GO:0046777
Potra2n581s36025	GO:0004674,GO:0005524,GO:0005886,GO:0009069,GO:0016021,GO:0046777
Potra2n581s36024	GO:0006694,GO:0009941,GO:0016117,GO:0016719,GO:0016788,GO:0052886,GO:0052887,GO:0052889,GO:0055114,GO:1901177
Potra2n707s36547	GO:0005515,GO:0016301,GO:0016310
Potra2n409s35556	GO:0004386,GO:0005524,GO:0046872
Potra2n268s35171	GO:0000155,GO:0000160,GO:0009365,GO:0016021,GO:0023014
Potra2n606s36123	GO:0005515,GO:0016021,GO:0031347,GO:2000031
Potra2n1041s36943	GO:0003723,GO:0005634,GO:0005739,GO:0080156,GO:1990904
Potra2n9c18651	GO:0005351,GO:0005887,GO:0032440,GO:0034219,GO:0055114,GO:1902600
Potra2n9c18664	GO:0005319,GO:0006869,GO:0016021,GO:0016757
Potra2n9c18641	GO:0005515
Potra2n9c18633	GO:0004697,GO:0005524,GO:0006468,GO:0007165,GO:0009069
Potra2n9c18661	GO:0004674,GO:0005524,GO:0006468,GO:0009069
Potra2n9c18645	GO:0004650,GO:0005576,GO:0005982,GO:0005985,GO:0016829,GO:0071555
Potra2n9c18660	GO:0005515,GO:0016740
Potra2n9c18644	GO:0000051,GO:0004046,GO:0005737,GO:0006508,GO:0006520,GO:0008237,GO:0016021
Potra2n9c18646	GO:0004594,GO:0005634,GO:0005829,GO:0015937,GO:0015940,GO:0016021,GO:0016310
Potra2n9c18663	GO:0009451,GO:0016740
Potra2n9c18655	GO:0003333,GO:0005774,GO:0015175,GO:0015804,GO:0016021
Potra2n9c18637	GO:0005802,GO:0005886,GO:0005982,GO:0005985,GO:0006011,GO:0009833,GO:0009846,GO:0016760,GO:0030244,GO:0051753
Potra2n9c18638	GO:0004420,GO:0005515,GO:0005778,GO:0005789,GO:0008299,GO:0015936,GO:0016021,GO:0016126,GO:0042282,GO:0050662,GO:0055114
Potra2n9c18652	GO:0004413,GO:0005524,GO:0005886,GO:0006544,GO:0006563,GO:0006566,GO:0015276,GO:0016021,GO:0016310,GO:0034220
Potra2n9c18659	GO:0003723,GO:0005654
Potra2n9c18649	GO:0004683,GO:0005509,GO:0005516,GO:0005524,GO:0005634,GO:0005737,GO:0009069,GO:0009931,GO:0018105,GO:0035556,GO:0046777
Potra2n9c18642	GO:0005576,GO:0005618,GO:0006949,GO:0009664,GO:0016021,GO:0080167
Potra2n9c18654	GO:0003827,GO:0005794,GO:0006486,GO:0016021,GO:0042254
Potra2n9c18639	GO:0000049,GO:0004818,GO:0005086,GO:0005524,GO:0005802,GO:0006424,GO:0008270,GO:0009332,GO:0015994,GO:0032012,GO:0043087
Potra2n9c18653	GO:0005315,GO:0005654,GO:0005730,GO:0005794,GO:0005887,GO:0006364,GO:0006817,GO:0009624,GO:0009793,GO:0030692,GO:0032040,GO:0055085
Potra2n9c18632	GO:0005515,GO:0009294,GO:0009405,GO:0009861,GO:0016573,GO:0032041,GO:0045892,GO:0045944,GO:0046872,GO:0070822,GO:0070932,GO:0070933,GO:1902459,GO:2000026
Potra2n9c18636	GO:0006355,GO:0008270
Potra2n9c18634	GO:0016021
Potra2n9c18640	GO:0000049,GO:0004818,GO:0005086,GO:0005524,GO:0006424,GO:0008270,GO:0009332,GO:0015994,GO:0032012,GO:0043087
Potra2n9c18643	GO:0003824,GO:0009987
Potra2n9c18647	GO:0004197,GO:0005615,GO:0005764,GO:0016491,GO:0051603
Potra2n9c18656	GO:0008168,GO:0032259
Potra2n9c18703	GO:0003924,GO:0005525,GO:0009507,GO:0010020,GO:0032153,GO:0051301
Potra2n9c18691	GO:0005982,GO:0005985,GO:0016021,GO:0042973,GO:0046658
Potra2n9c18672	GO:0000074,GO:0000079,GO:0000307,GO:0004672,GO:0005634,GO:0005737,GO:0005813,GO:0016538,GO:0019901,GO:0044772
Potra2n9c18698	GO:0007165
Potra2n9c18678	GO:0003712,GO:0005634,GO:0005667,GO:0005737,GO:0008134,GO:0009416,GO:0009733,GO:0009910,GO:0010022,GO:0010228,GO:0045449,GO:0048316
Potra2n9c18677	GO:0004449,GO:0005739,GO:0006099,GO:0006102
Potra2n9c18687	GO:0003924,GO:0005525,GO:0009507,GO:0010020,GO:0051301
Potra2n9c18683	GO:0003700,GO:0005667,GO:0006355,GO:0045449
Potra2n9c18704	GO:0005515
Potra2n9c18705	GO:0000122,GO:0000981,GO:0008134,GO:0043565,GO:0045944,GO:0046983,GO:0051726,GO:0090575
Potra2n9c18674	GO:0009626,GO:0016021
Potra2n9c18707	GO:0045892
Potra2n9c18695	GO:0005634,GO:0046982
Potra2n9c18713	GO:0016810,GO:0016836,GO:0034641,GO:0071704
Potra2n9c18697	GO:0003735,GO:0005507,GO:0005730,GO:0005747,GO:0005773,GO:0006412,GO:0009507,GO:0015934,GO:0016021,GO:0042254
Potra2n9c18689	GO:0009055,GO:0009507,GO:0022900,GO:0046872,GO:0051537
Potra2n9c18681	GO:0016787
Potra2n9c18676	GO:0006904,GO:0016616,GO:0055114
Potra2n9c18670	GO:0005829,GO:0006511,GO:0031593
Potra2n9c18688	GO:0004553,GO:0005618,GO:0010411,GO:0016762,GO:0042546,GO:0048046,GO:0071555
Potra2n9c18706	GO:0016021
Potra2n9c18671	GO:0004842,GO:0005515,GO:0005634,GO:0005737,GO:0007166,GO:0016567,GO:0016874
Potra2n9c18675	GO:0005829
Potra2n9c18686	GO:0005515
Potra2n9c18673	GO:0005509
Potra2n9c18685	GO:0002237,GO:0003700,GO:0005634,GO:0005667,GO:0006355,GO:0042803,GO:0043565,GO:0045449,GO:0048653,GO:0071588
Potra2n9c18711	GO:0003677,GO:0005634,GO:0006355,GO:0016021
Potra2n9c18694	GO:0003729,GO:0005634,GO:0006397,GO:1990904
Potra2n9c18708	GO:0045892
Potra2n9c18699	GO:0006807
Potra2n9c18696	GO:0006886,GO:0006888,GO:0008270,GO:0030127
Potra2n9c18679	GO:0005515,GO:0005750,GO:0005773,GO:0006122,GO:0016021,GO:0020037,GO:0042776,GO:0045153,GO:0046872
Potra2n9c18715	GO:0005515,GO:0016021
Potra2n9c18709	GO:0000932,GO:0003676,GO:0004535,GO:0016740,GO:0017148,GO:0030015,GO:0043928,GO:0051252,GO:0090503
Potra2n9c18665	GO:0005515
Potra2n9c18693	GO:0005509
Potra2n9c18666	GO:0005515
Potra2n9c18668	GO:0003676
Potra2n9c18702	GO:0007165
Potra2n9c18739	GO:0004412,GO:0005829,GO:0006544,GO:0006563,GO:0009085,GO:0009086,GO:0009088,GO:0009090,GO:0009097,GO:0016301,GO:0016310,GO:0050661,GO:0055114
Potra2n9c18757	GO:0005524,GO:0005829,GO:0006777,GO:0018315,GO:0032324,GO:0046872,GO:0061598,GO:0061599
Potra2n9c18731	GO:0071249
Potra2n9c18735	GO:0003676,GO:0006397
Potra2n9c18755	GO:0004322,GO:0005507,GO:0005886,GO:0006826,GO:0009414,GO:0015994,GO:0046274,GO:0048046,GO:0052716,GO:0055072,GO:0055114
Potra2n9c18719	GO:0005789,GO:0009966,GO:0016021,GO:0016485
Potra2n9c18746	GO:0000159,GO:0004420,GO:0005524,GO:0005789,GO:0005832,GO:0006457,GO:0006694,GO:0007165,GO:0008299,GO:0015936,GO:0016021,GO:0019888,GO:0043531,GO:0043666,GO:0046686,GO:0050662,GO:0051082,GO:0055114
Potra2n9c18725	GO:0005507,GO:0005576,GO:0008447,GO:0009506,GO:0019852,GO:0055114
Potra2n9c18752	GO:0000785,GO:0003682,GO:0004672,GO:0005524,GO:0005737,GO:0005819,GO:0006468,GO:0007062,GO:0009506,GO:0016021,GO:0016363
Potra2n9c18728	GO:0004830,GO:0005524,GO:0005829,GO:0006436,GO:0006568,GO:0016740
Potra2n9c18745	GO:0016021,GO:0016818
Potra2n9c18726	GO:0003924,GO:0004298,GO:0005525,GO:0005634,GO:0005773,GO:0005794,GO:0005839,GO:0005886,GO:0006886,GO:0006888,GO:0009507,GO:0016021,GO:0032482,GO:0051603
