"","P21452_153","P21452_161","P21452_165","P21452_169","P21452_173","P21452_177","P21452_181","P21452_189"
"PS_chr01_G000001",314.401,280.007,311.949,252.283,519.919,240,260.82,321
"PS_chr01_G000002",0,4.001,2.401,9,24.983,1,7.997,4.101
"PS_chr01_G000003",0,0,0,0,0,0,0,0
"PS_chr01_G000007",96.017,75.914,37,71,49,58,27,42
"PS_chr01_G000008",1,0,0,0,0,1,0,2
"PS_chr01_G000009",253,192,719.287,209,735.452,180,503.436,393.106
"PS_chr01_G000011",66,46,71,64,53,41,50,23.002
"PS_chr01_G000012",214.771,194.736,307.978,139.893,467.6,163.045,206.595,349.845
"PS_chr01_G000013",0,0,0,0,0,3,0,0
"PS_chr01_G000014",857.999,547.082,141.054,394.03,197.052,615.31,151.034,131.741
"PS_chr01_G000015",67,50,7,33,2,37,1,27
"PS_chr01_G000016",63.028,47.621,5,13.869,0,24.809,0,2
"PS_chr01_G000017",62.097,43.603,14,43.056,1,14.652,0,2.005
"PS_chr01_G000018",1963.836,1785.054,174.473,2039.106,241.907,1308.577,200.967,369.622
"PS_chr01_G000019",191.249,177.06,10.521,227.639,26.103,202.233,34.428,8.746
"PS_chr01_G000020",581.898,1141.114,180,752,201,501,140,450.001
"PS_chr01_G000022",4530.998,3135.963,6172.257,2370.413,9050.163,2644.032,5616.256,9582.485
"PS_chr01_G000023",0,0,0,0,2.01,0,0,0
"PS_chr01_G000024",146.711,67.922,43.345,108.149,131.795,101.001,64.514,143.193
"PS_chr01_G000025",354.289,95.078,442.655,120,499.747,227.999,185.061,791.996
"PS_chr01_G000026",28,8,49,57,107,42,21,131
"PS_chr01_G000027",3430.471,2545.133,6492.004,2958.976,2514.959,1819.001,1633.004,2828.791
"PS_chr01_G000028",0,0,0,0,0,0,0,0
"PS_chr01_G000029",286,44,8,283,58,391,7,2
"PS_chr01_G000030",127.089,80,121,137,63,59,92.352,162
"PS_chr01_G000031",0,0,0,0,0,0,0,0
"PS_chr01_G000032",298.055,245.058,226.289,498.75,627.357,431.988,107.584,235
"PS_chr01_G000033",0,0,0,0,0,0,0,0
"PS_chr01_G000034",664,602.527,835.365,851.838,1424.321,601.529,756.149,1615.747
"PS_chr01_G000035",10,9.999,30.599,46,33.017,23,11.003,24.899
"PS_chr01_G000036",15,25,8,34,46,5,32,14
"PS_chr01_G000037",0,0,0,0,0,0,0,0
"PS_chr01_G000038",0,0,0,0,0,0,0,0
