PS_chr01_G000001.mRNA.3	PS_chr01_G000001
PS_chr01_G000002.mRNA.1	PS_chr01_G000002
PS_chr01_G000003.mRNA.1	PS_chr01_G000003
PS_chr01_G000007.mRNA.3	PS_chr01_G000007
PS_chr01_G000008.mRNA.1	PS_chr01_G000008
PS_chr01_G000009.mRNA.8	PS_chr01_G000009
PS_chr01_G000011.mRNA.1	PS_chr01_G000011
PS_chr01_G000012.mRNA.2	PS_chr01_G000012
PS_chr01_G000013.mRNA.1	PS_chr01_G000013
PS_chr01_G000014.mRNA.1	PS_chr01_G000014
PS_chr01_G000015.mRNA.1	PS_chr01_G000015
PS_chr01_G000016.mRNA.1	PS_chr01_G000016
PS_chr01_G000017.mRNA.1	PS_chr01_G000017
PS_chr01_G000018.mRNA.1	PS_chr01_G000018
PS_chr01_G000019.mRNA.1	PS_chr01_G000019
PS_chr01_G000020.mRNA.1	PS_chr01_G000020
PS_chr01_G000022.mRNA.1	PS_chr01_G000022
PS_chr01_G000023.mRNA.1	PS_chr01_G000023
PS_chr01_G000024.mRNA.1	PS_chr01_G000024
PS_chr01_G000025.mRNA.1	PS_chr01_G000025
PS_chr01_G000026.mRNA.1	PS_chr01_G000026
PS_chr01_G000027.mRNA.1	PS_chr01_G000027
PS_chr01_G000028.mRNA.1	PS_chr01_G000028
PS_chr01_G000029.mRNA.1	PS_chr01_G000029
PS_chr01_G000030.mRNA.2	PS_chr01_G000030
PS_chr01_G000031.mRNA.1	PS_chr01_G000031
PS_chr01_G000032.mRNA.1	PS_chr01_G000032
PS_chr01_G000033.mRNA.1	PS_chr01_G000033
PS_chr01_G000034.mRNA.1	PS_chr01_G000034
PS_chr01_G000035.mRNA.1	PS_chr01_G000035
PS_chr01_G000036.mRNA.1	PS_chr01_G000036
PS_chr01_G000037.mRNA.1	PS_chr01_G000037
PS_chr01_G000038.mRNA.1	PS_chr01_G000038
PS_chr01_G000039.mRNA.1	PS_chr01_G000039
PS_chr01_G000040.mRNA.1	PS_chr01_G000040
PS_chr01_G000041.mRNA.1	PS_chr01_G000041
PS_chr01_G000043.mRNA.4	PS_chr01_G000043
PS_chr01_G000044.mRNA.1	PS_chr01_G000044
PS_chr01_G000045.mRNA.1	PS_chr01_G000045
PS_chr01_G000046.mRNA.1	PS_chr01_G000046
PS_chr01_G000047.mRNA.1	PS_chr01_G000047
PS_chr01_G000049.mRNA.1	PS_chr01_G000049
PS_chr01_G000052.mRNA.1	PS_chr01_G000052
PS_chr01_G000054.mRNA.1	PS_chr01_G000054
PS_chr01_G000055.mRNA.1	PS_chr01_G000055
PS_chr01_G000056.mRNA.1	PS_chr01_G000056
PS_chr01_G000057.mRNA.1	PS_chr01_G000057
PS_chr01_G000059.mRNA.1	PS_chr01_G000059
PS_chr01_G000058.mRNA.2	PS_chr01_G000058
PS_chr01_G000061.mRNA.1	PS_chr01_G000061
PS_chr01_G000062.mRNA.1	PS_chr01_G000062
PS_chr01_G000063.mRNA.1	PS_chr01_G000063
PS_chr01_G000064.mRNA.1	PS_chr01_G000064
PS_chr01_G000065.mRNA.1	PS_chr01_G000065
PS_chr01_G000066.mRNA.2	PS_chr01_G000066
PS_chr01_G000067.mRNA.1	PS_chr01_G000067
PS_chr01_G000068.mRNA.1	PS_chr01_G000068
PS_chr01_G000069.mRNA.2	PS_chr01_G000069
PS_chr01_G000070.mRNA.1	PS_chr01_G000070
PS_chr01_G000071.mRNA.1	PS_chr01_G000071
PS_chr01_G000072.mRNA.1	PS_chr01_G000072
PS_chr01_G000073.mRNA.1	PS_chr01_G000073
PS_chr01_G000074.mRNA.1	PS_chr01_G000074
PS_chr01_G000075.mRNA.1	PS_chr01_G000075
PS_chr01_G000076.mRNA.2	PS_chr01_G000076
PS_chr01_G000077.mRNA.1	PS_chr01_G000077
PS_chr01_G000078.mRNA.2	PS_chr01_G000078
PS_chr01_G000079.mRNA.4	PS_chr01_G000079
PS_chr01_G000080.mRNA.2	PS_chr01_G000080
PS_chr01_G000083.mRNA.1	PS_chr01_G000083
PS_chr01_G000084.mRNA.2	PS_chr01_G000084
PS_chr01_G000085.mRNA.1	PS_chr01_G000085
PS_chr01_G000086.mRNA.1	PS_chr01_G000086
PS_chr01_G000088.mRNA.1	PS_chr01_G000088
PS_chr01_G000089.mRNA.1	PS_chr01_G000089
PS_chr01_G000090.mRNA.1	PS_chr01_G000090
PS_chr01_G000092.mRNA.4	PS_chr01_G000092
PS_chr01_G000093.mRNA.3	PS_chr01_G000093
PS_chr01_G000094.mRNA.2	PS_chr01_G000094
PS_chr01_G000095.mRNA.1	PS_chr01_G000095
PS_chr01_G000096.mRNA.2	PS_chr01_G000096
PS_chr01_G000097.mRNA.2	PS_chr01_G000097
PS_chr01_G000098.mRNA.1	PS_chr01_G000098
PS_chr01_G000099.mRNA.1	PS_chr01_G000099
PS_chr01_G000101.mRNA.1	PS_chr01_G000101
PS_chr01_G000102.mRNA.1	PS_chr01_G000102
PS_chr01_G000104.mRNA.1	PS_chr01_G000104
PS_chr01_G000108.mRNA.1	PS_chr01_G000108
PS_chr01_G000109.mRNA.3	PS_chr01_G000109
PS_chr01_G000110.mRNA.1	PS_chr01_G000110
PS_chr01_G000111.mRNA.2	PS_chr01_G000111
